timestamp,user,role,ip,location,command,email_attachments,privileged_action,role_change,change_request,resource,access_type,alert
2025-01-04 22:48:00,eve,user,192.168.1.12,Germany,whoami,11,False,False,CR123,public_data,fail,R1: Lateral Movement
2025-01-04 22:48:00,eve,user,192.168.1.12,Germany,whoami,11,False,False,CR123,public_data,fail,R3: Location/IP Anomaly
2025-01-07 05:09:00,alice,admin,192.168.1.39,USA,sudo su,7,False,False,CR456,public_data,fail,R1: Lateral Movement
2025-01-07 05:09:00,alice,admin,192.168.1.39,USA,sudo su,7,False,False,CR456,public_data,fail,R2: Rapid Multi-System Access
2025-01-07 05:09:00,alice,admin,192.168.1.39,USA,sudo su,7,False,False,CR456,public_data,fail,R3: Location/IP Anomaly
2025-01-01 10:26:00,bob,admin,192.168.1.30,Germany,ls,9,False,False,CR123,confidential_data,fail,R1: Lateral Movement
2025-01-01 10:26:00,bob,admin,192.168.1.30,Germany,ls,9,False,False,CR123,confidential_data,fail,R3: Location/IP Anomaly
2025-01-05 22:31:00,bob,analyst,192.168.1.30,USA,whoami,7,False,False,CR123,internal_docs,fail,R1: Lateral Movement
2025-01-05 22:31:00,bob,analyst,192.168.1.30,USA,whoami,7,False,False,CR123,internal_docs,fail,R3: Location/IP Anomaly
2025-01-02 02:45:00,alice,admin,192.168.1.29,UK,cat,14,False,False,,public_data,fail,R1: Lateral Movement
2025-01-02 02:45:00,alice,admin,192.168.1.29,UK,cat,14,False,False,,public_data,fail,R3: Location/IP Anomaly
2025-01-05 20:15:00,dave,analyst,192.168.1.37,UK,cat,15,False,True,,internal_docs,fail,R1: Lateral Movement
2025-01-05 20:15:00,dave,analyst,192.168.1.37,UK,cat,15,False,True,,internal_docs,fail,R3: Location/IP Anomaly
2025-01-03 21:40:00,charlie,analyst,192.168.1.47,Germany,netstat,10,False,False,CR456,prod_server,fail,R1: Lateral Movement
2025-01-03 21:40:00,charlie,analyst,192.168.1.47,Germany,netstat,10,False,False,CR456,prod_server,fail,R3: Location/IP Anomaly
2025-01-01 19:24:00,alice,admin,192.168.1.25,Germany,ls,6,False,False,CR456,public_data,fail,R1: Lateral Movement
2025-01-01 19:24:00,alice,admin,192.168.1.25,Germany,ls,6,False,False,CR456,public_data,fail,R3: Location/IP Anomaly
2025-01-05 00:39:00,charlie,analyst,192.168.1.42,USA,whoami,16,False,False,CR456,internal_docs,success,R1: Lateral Movement
2025-01-05 00:39:00,charlie,analyst,192.168.1.42,USA,whoami,16,False,False,CR456,internal_docs,success,R3: Location/IP Anomaly
2025-01-02 10:40:00,bob,analyst,192.168.1.28,USA,whoami,8,False,False,,confidential_data,success,R1: Lateral Movement
2025-01-02 10:40:00,bob,analyst,192.168.1.28,USA,whoami,8,False,False,,confidential_data,success,R3: Location/IP Anomaly
2025-01-04 23:31:00,alice,analyst,192.168.1.48,Germany,whoami,13,False,False,CR456,public_data,fail,R1: Lateral Movement
2025-01-04 23:31:00,alice,analyst,192.168.1.48,Germany,whoami,13,False,False,CR456,public_data,fail,R3: Location/IP Anomaly
2025-01-05 12:59:00,alice,analyst,192.168.1.11,Germany,netstat,8,False,False,CR123,internal_docs,success,R1: Lateral Movement
2025-01-05 12:59:00,alice,analyst,192.168.1.11,Germany,netstat,8,False,False,CR123,internal_docs,success,R2: Rapid Multi-System Access
2025-01-05 12:59:00,alice,analyst,192.168.1.11,Germany,netstat,8,False,False,CR123,internal_docs,success,R3: Location/IP Anomaly
2025-01-05 01:49:00,alice,admin,192.168.1.31,UK,sudo su,14,False,False,CR123,confidential_data,success,R1: Lateral Movement
2025-01-05 01:49:00,alice,admin,192.168.1.31,UK,sudo su,14,False,False,CR123,confidential_data,success,R3: Location/IP Anomaly
2025-01-01 14:14:00,bob,admin,192.168.1.37,UK,cat,5,False,False,CR123,internal_docs,success,R1: Lateral Movement
2025-01-01 14:14:00,bob,admin,192.168.1.37,UK,cat,5,False,False,CR123,internal_docs,success,R2: Rapid Multi-System Access
2025-01-01 14:14:00,bob,admin,192.168.1.37,UK,cat,5,False,False,CR123,internal_docs,success,R3: Location/IP Anomaly
2025-01-06 20:12:00,charlie,admin,192.168.1.1,UK,ls,5,True,False,CR123,internal_docs,fail,R1: Lateral Movement
2025-01-06 20:12:00,charlie,admin,192.168.1.1,UK,ls,5,True,False,CR123,internal_docs,fail,R2: Rapid Multi-System Access
2025-01-06 20:12:00,charlie,admin,192.168.1.1,UK,ls,5,True,False,CR123,internal_docs,fail,R3: Location/IP Anomaly
2025-01-01 16:35:00,alice,admin,192.168.1.13,India,ls,14,True,False,CR456,public_data,fail,R1: Lateral Movement
2025-01-01 16:35:00,alice,admin,192.168.1.13,India,ls,14,True,False,CR456,public_data,fail,R3: Location/IP Anomaly
2025-01-04 21:20:00,dave,admin,192.168.1.1,USA,ls,14,False,False,CR123,internal_docs,success,R1: Lateral Movement
2025-01-04 21:20:00,dave,admin,192.168.1.1,USA,ls,14,False,False,CR123,internal_docs,success,R3: Location/IP Anomaly
2025-01-06 01:35:00,alice,user,192.168.1.15,UK,netstat,12,False,False,CR456,confidential_data,success,R1: Lateral Movement
